,geography,category,data_type,unit,currency_conversion,current_constant,year_nk,value
52,Honduras,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,16589.0
53,Mexico,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,826987.3
54,Panama,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,32984.1
55,Paraguay,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,23572.9
56,Peru,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,133016.5
57,Uruguay,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,35653.0
58,Venezuela,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,43891.5
59,Algeria,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,69840.6
60,Angola,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,62615.7
61,Bahrain,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,19046.2
62,Cameroon,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,22916.7
63,Côte d'Ivoire,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,34285.6
64,Egypt,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,232792.4
65,Ethiopia,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,50912.5
66,Ghana,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,40080.1
67,Iran,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,324357.7
68,Iraq,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,112755.5
69,Israel,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,210027.3
70,Jordan,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,33810.3
71,Kenya,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,56593.8
72,Kuwait,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,59921.4
73,Lebanon,Disposable Income,Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,2016,46937.1
